Número documento GEDO;Dependencia receptora;Orden de compra;N° Contratación / Licitación;Resolución Aprobatoria;Expediente;Entidad Proveedora;Cuit Proveedor;Remito n°;Fecha de remito;Fecha de recepción;Renglon;Cantidad;Detalle;Unidad;Observaciones
ACTA-2021-116400367-APN-SGA#MS;Subsecretaría de Medicamentos e Información Estratégica;NO-2021-43800386-APN-DGA#MS;-;-;EX-2021-36935421-APN-DD#MS;CIRUGÍA ALEMANA – INSUMOS MEDICOS S.A.;30709247650;1800110563;;07/09/2021;7;1;CAJA INTERSOMÁTICA LUMBAR DE PEEK BLOQUEADA DE ABORDAJE PERCUTÁNEO CON SISTEMA DE SEPARADORES Y FUENTE DE LUZ;UNIDAD;"CONFORMIDAD AREA REQUIRENTE: PV- 2021-105819477-APN-SSMEIE#MS; LUGAR DE ENTREGA: HOSPITAL DE CLINICAS JOSE DE SAN MARTIN"
ACTA-2021-116856339-APN-SGA#MS;Dirección de Coberturas de Medicamentos Especiales y de Alto Precio;80-1074-OC18;80-0004-LPU18;ACTO-2018-20848660-APN-JGM;EX-2018-4630637-APN-DCYC#MS;CSL BEHRING S.A.;33707668089;3801687273;;01/08/2018;4;5000;"FACTOR VIII DERIVADO DE PLASMA HUMANO x 1000 U.I. -. NOMBRE COMERCIAL: BERIATE 1000. CERTIFICADO ANMAT: 49.553			";U.I.;PARCIAL / DENTRO / NOTA ACLARATORIA 29/11/2021 (ADJUNTA)
ACTA-2021-117375450-APN-SGA#MS;DIRECCIÓN DE COBERTURAS DE MEDICAMENTOS ESPECIALES Y DE ALTO PRECIO;80-1139-OC19;Licitación Pública N° 80-0017-LPU19;ACTO-2019-81501124-APN-JGM;EX-2019-58228145-APN-DCYCMS#MSYDS;SHIRE HUMAN GENETIC THERAPIES SA;30708282150;1,032E+11;;23/10/2019;2;13000;"Factor VIII de coagulación recombinante por 1.000 Unidades Internacionales, con polvo liofilizado
y disolvente para solución inyectable; Nombre comercial: ADVATE.";U.I.;PARCIAL - DENTRO
ACTA-2021-117376106-APN-SGA#MS;DIRECCIÓN DE COBERTURAS DE MEDICAMENTOS ESPECIALES Y DE ALTO PRECIO;80-1139-OC19;Licitación Pública N° 80-0017-LPU19;ACTO-2019-81501124-APN-JGM;EX-2019-58228145-APN-DCYCMS#MSYDS;SHIRE HUMAN GENETIC THERAPIES SA;30708282150;1,032E+11;;25/10/2019;2;24000;"Factor VIII de coagulación recombinante por 1.000 Unidades Internacionales, con polvo liofilizado
y disolvente para solución inyectable; Nombre comercial: ADVATE.";U.I.;PARCIAL - DENTRO
ACTA-2021-117377152-APN-SGA#MS;DIRECCIÓN DE COBERTURAS DE MEDICAMENTOS ESPECIALES Y DE ALTO PRECIO;80-1139-OC19;Licitación Pública N° 80-0017-LPU19;ACTO-2019-81501124-APN-JGM;EX-2019-58228145-APN-DCYCMS#MSYDS;SHIRE HUMAN GENETIC THERAPIES SA;30708282150;1,032E+11;;13/11/2019;2;12000;"Factor VIII de coagulación recombinante por 1.000 Unidades Internacionales, con polvo liofilizado
y disolvente para solución inyectable; Nombre comercial: ADVATE.";U.I.;PARCIAL - DENTRO
ACTA-2021-117377315-APN-SGA#MS;DIRECCIÓN DE COBERTURAS DE MEDICAMENTOS ESPECIALES Y DE ALTO PRECIO;80-1139-OC19;Licitación Pública N° 80-0017-LPU19;ACTO-2019-81501124-APN-JGM;EX-2019-58228145-APN-DCYCMS#MSYDS;SHIRE HUMAN GENETIC THERAPIES SA;30708282150;1,032E+11;;26/11/2019;2;13000;"Factor VIII de coagulación recombinante por 1.000 Unidades Internacionales, con polvo liofilizado
y disolvente para solución inyectable; Nombre comercial: ADVATE.";U.I.;PARCIAL - DENTRO
ACTA-2021-117377987-APN-SGA#MS;Dirección de Géneros y Diversidad;80-1097-OC20;80-0016-CDI20;RS-2020-57205035-APN-SAS#MS;EX-2020-30908186-APN-DCYCMS#MSYDS;Drogueria Varadero S.A.;30708450525;1300037475;;23/11/2021;1;1500;"Nombre Genérico: Testosterona 1 G % Nombre Comercial: Androlone Forma Farmacéutica: Gel dérmico Presentación: 30 sobres gel
monodosis por 5 g";ENVASES;PARCIAL - DENTRO
ACTA-2021-117378351-APN-SGA#MS;DIRECCIÓN DE COBERTURAS DE MEDICAMENTOS ESPECIALES Y DE ALTO PRECIO;80-1139-OC19;Licitación Pública N° 80-0017-LPU19;ACTO-2019-81501124-APN-JGM;EX-2019-58228145-APN-DCYCMS#MSYDS;SHIRE HUMAN GENETIC THERAPIES SA;30708282150;1,032E+11;;25/11/2019;2;13000;"Factor VIII de coagulación recombinante por 1.000 Unidades Internacionales, con polvo liofilizado
y disolvente para solución inyectable; Nombre comercial: ADVATE.";U.I.;PARCIAL - DENTRO
ACTA-2021-117378746-APN-SGA#MS;DIRECCIÓN DE COBERTURAS DE MEDICAMENTOS ESPECIALES Y DE ALTO PRECIO;80-1139-OC19;Licitación Pública N° 80-0017-LPU19;ACTO-2019-81501124-APN-JGM;EX-2019-58228145-APN-DCYCMS#MSYDS;SHIRE HUMAN GENETIC THERAPIES SA;30708282150;1,032E+11;;22/01/2020;4;24000;"Factor VIII derivado de plasma humano por 1.000 Unidades Internacionales, con polvo liofilizado y
disolvente para solución inyectable; Nombre comercial: HEMOFIL M.";U.I.;PARCIAL - DENTRO
ACTA-2021-117379085-APN-SGA#MS;DIRECCIÓN DE COBERTURAS DE MEDICAMENTOS ESPECIALES Y DE ALTO PRECIO;80-1139-OC19;Licitación Pública N° 80-0017-LPU19;ACTO-2019-81501124-APN-JGM;EX-2019-58228145-APN-DCYCMS#MSYDS;SHIRE HUMAN GENETIC THERAPIES SA;30708282150;1,032E+11;;08/01/2020;4;24000;"Factor VIII derivado de plasma humano por 1.000 Unidades Internacionales, con polvo liofilizado y
disolvente para solución inyectable; Nombre comercial: HEMOFIL M.";U.I.;PARCIAL - DENTRO
ACTA-2021-117379536-APN-SGA#MS;Dirección de Respuesta al VIH, ITS, Hepatitis Virales y Tuberculosis;80-1155-OC21;80-0007-LPU21;RS-2021-67464187-APN-SAS#MS;EX-2021-11457015-APN-DCYC#MS;LABORATORIO LKM S.A.;30661728597;100241651;;26/11/2021;15;175000;"Nombre Comercial: LEUCOCALCIN 15 Composición-. L-Leucovorina Cálcica 16,22mg. (equivalente a 15mg de
Lecuvorina) ";COMP.;SEGUNDA ENTREGA - TOTAL - DENTRO
ACTA-2021-117613233-APN-SGA#MS;DIRECCIÓN DE COBERTURAS DE MEDICAMENTOS ESPECIALES Y DE ALTO PRECIO;80-1139-OC19;Licitación Pública N° 80-0017-LPU19;ACTO-2019-81501124-APN-JGM;EX-2019-58228145-APN-DCYCMS#MSYDS;SHIRE HUMAN GENETIC THERAPIES SA;30708282150;1,032E+11;;24/04/2020;4;24000;"Factor VIII derivado de plasma humano por 1.000 Unidades Internacionales, con polvo liofilizado y
disolvente para solución inyectable; Nombre comercial: HEMOFIL M.";U.I.;PARCIAL - DENTRO
ACTA-2021-117614068-APN-SGA#MS;Dirección de Respuesta al VIH, ITS, Hepatitis Virales y Tuberculosis;80-1153-OC21;80-0007-LPU21;RS-2021-67464187-APN-SAS#MS;EX-2021-11457015-APN-DCYC#MS;LABORATORIOS RICHET SA;30504294222;200490682;;19/11/2021;13;4250;"Nombre comercial: GANCICLOVIR RICHET;
Nombre genérico; GANCICLOVIR (como SALSODICA) 500 mgr; Formafarmaceútica; INYECTABLE LlOFILlZADO";AMP.;SEGUNDA ENTREGA - PARCIAL - DENTRO
ACTA-2021-117830735-APN-SGA#MS;DIRECCIÓN DE COBERTURAS DE MEDICAMENTOS ESPECIALES Y DE ALTO PRECIO;80-1139-OC19;Licitación Pública N° 80-0017-LPU19;ACTO-2019-81501124-APN-JGM;EX-2019-58228145-APN-DCYCMS#MSYDS;SHIRE HUMAN GENETIC THERAPIES SA;30708282150;1,032E+11;;28/08/2020;3;6500;"Factor VIII derivado de plasma humano por 500 Unidades Internacionales, con polvo liofilizado y
disolvente para solución inyectable; Nombre comercial: HEMOFIL M.";U.I.;PARCIAL - DENTRO
ACTA-2021-117830735-APN-SGA#MS;DIRECCIÓN DE COBERTURAS DE MEDICAMENTOS ESPECIALES Y DE ALTO PRECIO;80-1139-OC19;Licitación Pública N° 80-0017-LPU19;ACTO-2019-81501124-APN-JGM;EX-2019-58228145-APN-DCYCMS#MSYDS;SHIRE HUMAN GENETIC THERAPIES SA;30708282150;1,032E+11;;28/08/2020;4;13000;"Factor VIII derivado de plasma humano por 1.000 Unidades Internacionales, con polvo liofilizado y
disolvente para solución inyectable; Nombre comercial: HEMOFIL M";U.I.;PARCIAL - DENTRO
ACTA-2021-117833197-APN-SGA#MS;DIRECCIÓN DE COBERTURAS DE MEDICAMENTOS ESPECIALES Y DE ALTO PRECIO;80-1139-OC19;Licitación Pública N° 80-0017-LPU19;ACTO-2019-81501124-APN-JGM;EX-2019-58228145-APN-DCYCMS#MSYDS;SHIRE HUMAN GENETIC THERAPIES SA;30708282150;1,032E+11;;17/09/2020;4;13000;"Factor VIII derivado de plasma humano por 1.000 Unidades Internacionales, con polvo liofilizado y
disolvente para solución inyectable; Nombre comercial: HEMOFIL M.";U.I.;PARCIAL - DENTRO
ACTA-2021-117833530-APN-SGA#MS;DIRECCIÓN DE COBERTURAS DE MEDICAMENTOS ESPECIALES Y DE ALTO PRECIO;80-1139-OC19;Licitación Pública N° 80-0017-LPU19;ACTO-2019-81501124-APN-JGM;EX-2019-58228145-APN-DCYCMS#MSYDS;SHIRE HUMAN GENETIC THERAPIES SA;30708282150;1,032E+11;;29/09/2020;4;12000;"Factor VIII derivado de plasma humano por 1.000 Unidades Internacionales, con polvo liofilizado y
disolvente para solución inyectable; Nombre comercial: HEMOFIL M.";U.I.;PARCIAL - DENTRO
ACTA-2021-117833865-APN-SGA#MS;DIRECCIÓN DE COBERTURAS DE MEDICAMENTOS ESPECIALES Y DE ALTO PRECIO;80-1139-OC19;Licitación Pública N° 80-0017-LPU19;ACTO-2019-81501124-APN-JGM;EX-2019-58228145-APN-DCYCMS#MSYDS;SHIRE HUMAN GENETIC THERAPIES SA;30708282150;1,032E+11;;28/09/2020;4;39000;"Factor VIII derivado de plasma humano por 1.000 Unidades Internacionales, con polvo liofilizado y
disolvente para solución inyectable; Nombre comercial: HEMOFIL M.";U.I.;PARCIAL - FUERA
ACTA-2021-117834376-APN-SGA#MS;DIRECCIÓN DE COBERTURAS DE MEDICAMENTOS ESPECIALES Y DE ALTO PRECIO;80-1139-OC19;Licitación Pública N° 80-0017-LPU19;ACTO-2019-81501124-APN-JGM;EX-2019-58228145-APN-DCYCMS#MSYDS;SHIRE HUMAN GENETIC THERAPIES SA;30708282150;1,032E+11;;15/09/2020;4;16000;"Factor VIII derivado de plasma humano por 1.000 Unidades Internacionales, con polvo liofilizado y
disolvente para solución inyectable; Nombre comercial: HEMOFIL M.";U.I.;PARCIAL - DENTRO
ACTA-2021-117835554-APN-SGA#MS;DIRECCIÓN DE COBERTURAS DE MEDICAMENTOS ESPECIALES Y DE ALTO PRECIO;80-1139-OC19;Licitación Pública N° 80-0017-LPU19;ACTO-2019-81501124-APN-JGM;EX-2019-58228145-APN-DCYCMS#MSYDS;SHIRE HUMAN GENETIC THERAPIES SA;30708282150;1,032E+11;;16/09/2020;4;24000;"Factor VIII derivado de plasma humano por 1.000 Unidades Internacionales, con polvo liofilizado y
disolvente para solución inyectable; Nombre comercial: HEMOFIL M.";U.I.;PARCIAL - DENTRO
ACTA-2021-117837495-APN-SGA#MS;DIRECCIÓN DE COBERTURAS DE MEDICAMENTOS ESPECIALES Y DE ALTO PRECIO;80-1139-OC19;Licitación Pública N° 80-0017-LPU19;ACTO-2019-81501124-APN-JGM;EX-2019-58228145-APN-DCYCMS#MSYDS;SHIRE HUMAN GENETIC THERAPIES SA;30708282150;1,032E+11;;08/10/2020;4;24000;"Factor VIII derivado de plasma humano por 1.000 Unidades Internacionales, con polvo liofilizado y
disolvente para solución inyectable; Nombre comercial: HEMOFIL M.";U.I.;PARCIAL - DENTRO
ACTA-2021-117840302-APN-SGA#MS;DIRECCIÓN DE COBERTURAS DE MEDICAMENTOS ESPECIALES Y DE ALTO PRECIO;80-1139-OC19;Licitación Pública N° 80-0017-LPU19;ACTO-2019-81501124-APN-JGM;EX-2019-58228145-APN-DCYCMS#MSYDS;SHIRE HUMAN GENETIC THERAPIES SA;30708282150;1,032E+11;;15/10/2020;4;24000;"Factor VIII derivado de plasma humano por 1.000 Unidades Internacionales, con polvo liofilizado y
disolvente para solución inyectable; Nombre comercial: HEMOFIL M.";U.I.;PARCIAL - FUERA
ACTA-2021-117841864-APN-SGA#MS;DIRECCIÓN DE COBERTURAS DE MEDICAMENTOS ESPECIALES Y DE ALTO PRECIO;80-1139-OC19;Licitación Pública N° 80-0017-LPU19;ACTO-2019-81501124-APN-JGM;EX-2019-58228145-APN-DCYCMS#MSYDS;SHIRE HUMAN GENETIC THERAPIES SA;30708282150;1,032E+11;;07/10/2020;3;6500;"Factor VIII derivado de plasma humano por 500 Unidades Internacionales, con polvo liofilizado y
disolvente para solución inyectable; Nombre comercial: HEMOFIL M";U.I.;PARCIAL - DENTRO
ACTA-2021-117841864-APN-SGA#MS;DIRECCIÓN DE COBERTURAS DE MEDICAMENTOS ESPECIALES Y DE ALTO PRECIO;80-1139-OC19;Licitación Pública N° 80-0017-LPU19;ACTO-2019-81501124-APN-JGM;EX-2019-58228145-APN-DCYCMS#MSYDS;SHIRE HUMAN GENETIC THERAPIES SA;30708282150;1,032E+11;;07/10/2020;4;30000;"Factor VIII derivado de plasma humano por 1.000 Unidades Internacionales, con polvo liofilizado y
disolvente para solución inyectable; Nombre comercial: HEMOFIL M";U.I.;PARCIAL - DENTRO
ACTA-2021-117844960-APN-SGA#MS;DIRECCIÓN DE COBERTURAS DE MEDICAMENTOS ESPECIALES Y DE ALTO PRECIO;80-1139-OC19;Licitación Pública N° 80-0017-LPU19;ACTO-2019-81501124-APN-JGM;EX-2019-58228145-APN-DCYCMS#MSYDS;SHIRE HUMAN GENETIC THERAPIES SA;30708282150;1,032E+11;;14/10/2020;4;10000;"Factor VIII derivado de plasma humano por 1.000 Unidades Internacionales, con polvo liofilizado y
disolvente para solución inyectable; Nombre comercial: HEMOFIL M.";U.I.;PARCIAL - DENTRO
ACTA-2021-118492791-APN-SGA#MS;Dirección Nacional de Abordaje por Curso de Vida;80-1107-OC20;80-0014-LPU18;DI-2020-08819534-APN-SSES#MS;EX-2018-34940936-APN-DCYC#MS;PAM ARGENTINA SA;30709136123;700003691;;01/09/2021;1;1;"Sistema de Implante Coclear Multicanal, de Titanio, Multiestrategia, con transmisión de la señal de alta velocidad,
con procesador pediátrico de uso retroauricular.";UNI.;PARCIAL - DENTRO
ACTA-2021-118942657-APN-SGA#MS;Dirección de Coberturas de Medicamentos Especiales y de Alto Precio;80-1098-OC20;Licitación Pública N° 80-0017-LPU19;RESOL-2020-1429-APN-MS;EX-2019-58228145-APN-DCYCMS#MSYDS;SHIRE HUMAN GENETIC THERAPIES SA;30708282150;1,032E+11;;29/09/2020;2;26000;"Nombre genérico: Factor VIII de coagulación recombinante por 1.000 Unidades Internacionales, con polvo liofilizado y disolvente para solución inyectable; Nombre comercial: ADVATE.";U.I.;PARCIAL - DENTRO
ACTA-2021-118942957-APN-SGA#MS;Dirección de Coberturas de Medicamentos Especiales y de Alto Precio;80-1098-OC20;Licitación Pública N° 80-0017-LPU19;RESOL-2020-1429-APN-MS;EX-2019-58228145-APN-DCYCMS#MSYDS;SHIRE HUMAN GENETIC THERAPIES SA;30708282150;1,032E+11;;26/10/2020;2;16000;"Nombre genérico: Factor VIII de coagulación recombinante por 1.000 Unidades Internacionales, con polvo liofilizado y disolvente para solución inyectable; Nombre comercial: ADVATE.";U.I.;PARCIAL - DENTRO
ACTA-2021-119132125-APN-SGA#MS;Dirección de Coberturas de Medicamentos Especiales y de Alto Precio;80-1098-OC20;Licitación Pública N° 80-0017-LPU19;RESOL-2020-1429-APN-MS;EX-2019-58228145-APN-DCYCMS#MSYDS;SHIRE HUMAN GENETIC THERAPIES SA;30708282150;1,032E+11;;19/10/2020;2;12000;"Nombre genérico: Factor VIII de coagulación recombinante por 1.000 Unidades Internacionales, con polvo liofilizado y disolvente para solución inyectable; Nombre comercial: ADVATE.";U.I.;PARCIAL - DENTRO
ACTA-2021-119132319-APN-SGA#MS;Dirección de Coberturas de Medicamentos Especiales y de Alto Precio;80-1098-OC20;Licitación Pública N° 80-0017-LPU19;RESOL-2020-1429-APN-MS;EX-2019-58228145-APN-DCYCMS#MSYDS;SHIRE HUMAN GENETIC THERAPIES SA;30708282150;1,032E+11;;26/10/2020;4;24000;"Factor VIII derivado de plasma humano por 1.000 Unidades Internacionales, con polvo liofilizado y
disolvente para solución inyectable; Nombre comercial: HEMOFIL M.";U.I.;PARCIAL - DENTRO
ACTA-2021-119132445-APN-SGA#MS;Dirección de Coberturas de Medicamentos Especiales y de Alto Precio;80-1098-OC20;Licitación Pública N° 80-0017-LPU19;RESOL-2020-1429-APN-MS;EX-2019-58228145-APN-DCYCMS#MSYDS;SHIRE HUMAN GENETIC THERAPIES SA;30708282150;1,032E+11;;12/11/2020;4;15000;"Factor VIII derivado de plasma humano por 1.000 Unidades Internacionales, con polvo liofilizado y
disolvente para solución inyectable; Nombre comercial: HEMOFIL M.";U.I.;PARCIAL - DENTRO
ACTA-2021-119644976-APN-SGA#MS;DIRECCIÓN DE RESPUESTA AL VIH, ITS, HEPATITIS VIRALES Y TUBERCULOSIS;80-1153-OC21;80-0007-LPU21;RS-2021-67464187-APN-SAS#MS;EX-2021-11457015-APN-DCYC#MS;LABORATORIOS RICHET SA;30504294222;200490794;;19/11/2021;18;500;"Nombre comercial: PENTAMIDINA RICHET ; Nombre genérico: PENTAMIDINA ISETIONATO 300mg; Forma farmaceútica :POLVO LlOFILlZADO ESTERIL PARA SOLUCION INHALATORIA Y PARA ADMINISTRACION PARENTERAL";AMP.;SEGUNDA ENTREGA - PARCIAL - DENTRO
ACTA-2021-119645947-APN-SGA#MS;Dirección Nacional de Medicamentos y Tecnología Sanitaria;80-1071-OC21;80-0011-LPU20;ACTO-2021-20416600-APN-JGM;EX-2020-32645133-APN-DCYCMS#MSYDS;LAB.ESPECIALIDADES MEDICINALES SOC.DEL ESTADO;30698237097;600000045;;18/11/2021;22;116374;"NOMBRE DEL PRODUCTO: MICONAZOL CREMA 2% NOMBRE COMERCIAL: MICONAZOL LEM FORMA FARMACEUTICA: CREMA
PRESENTACIÓN: ENVASE X 2 POMOS DE 30 GR.";UNI.;TERCERA ENTREGA (116.326 UNI.)  - EXCEDENTE (48 UNI.)- PARCIAL - DENTRO
ACTA-2021-119661412-APN-SGA#MS;Dirección Nacional de Medicamentos y Tecnología Sanitaria;80-1067-OC21;80-0011-LPU20;ACTO-2021-20416600-APN-JGM;EX-2020-32645133-APN-DCYCMS#MSYDS;LABORATORIOS BERNABO S.A;30500547290;21800078915;;17/11/2021;3;1897080;"NOMBRE DEL PRODUCTO: ÁCIDO FÓLICO 1 MG. NOMBRE COMERCIAL: BERNAFOLIC 1MG FORMA FARMACEUTICA:
COMPRIMIDOS PRESENTACIÓN: BLISTER X 30 COMPRIMIDOS";COMP.;TERCERA ENTREGA - PARCIAL - DENTRO
ACTA-2021-119729252-APN-SGA#MS;Dirección de Coberturas de Medicamentos Especiales y de Alto Precio;80-1098-OC20;Licitación Pública N° 80-0017-LPU19;RESOL-2020-1429-APN-MS;EX-2019-58228145-APN-DCYCMS#MSYDS;SHIRE HUMAN GENETIC THERAPIES SA;30708282150;1,032E+11;;13/11/2020;4;24000;"Factor VIII derivado de plasma humano por 1.000 Unidades Internacionales, con polvo liofilizado y
disolvente para solución inyectable; Nombre comercial: HEMOFIL M.";U.I.;PARCIAL - DENTRO
ACTA-2021-119729706-APN-SGA#MS;Dirección de Coberturas de Medicamentos Especiales y de Alto Precio;80-1098-OC20;Licitación Pública N° 80-0017-LPU19;RESOL-2020-1429-APN-MS;EX-2019-58228145-APN-DCYCMS#MSYDS;SHIRE HUMAN GENETIC THERAPIES SA;30708282150;1,032E+11;;17/11/2020;4;36000;"Nombre genérico: Factor VIII derivado de plasma humano por 1.000 Unidades Internacionales, con polvo liofilizado y
disolvente para solución inyectable; Nombre comercial: HEMOFIL M.";U.I.;PARCIAL - DENTRO
ACTA-2021-119732418-APN-SGA#MS;Dirección de Coberturas de Medicamentos Especiales y de Alto Precio;80-1098-OC20;Licitación Pública N° 80-0017-LPU19;RESOL-2020-1429-APN-MS;EX-2019-58228145-APN-DCYCMS#MSYDS;SHIRE HUMAN GENETIC THERAPIES SA;30708282150;1,032E+11;;17/11/2020;4;24000;"Nombre genérico: Factor VIII derivado de plasma humano por 1.000 Unidades Internacionales, con polvo liofilizado y
disolvente para solución inyectable; Nombre comercial: HEMOFIL M.";U.I.;PARCIAL - DENTRO
ACTA-2021-119742040-APN-SGA#MS;Dirección de Coberturas de Medicamentos Especiales y de Alto Precio;80-1098-OC20;Licitación Pública N° 80-0017-LPU19;RESOL-2020-1429-APN-MS;EX-2019-58228145-APN-DCYCMS#MSYDS;SHIRE HUMAN GENETIC THERAPIES SA;30708282150;1,032E+11;;25/11/2020;4;12000;"Nombre genérico: Factor VIII derivado de plasma humano por 1.000 Unidades Internacionales, con polvo liofilizado y
disolvente para solución inyectable; Nombre comercial: HEMOFIL M.";U.I.;PARCIAL - DENTRO
ACTA-2021-119758380-APN-SGA#MS;Dirección de Coberturas de Medicamentos Especiales y de Alto Precio;80-1098-OC20;Licitación Pública N° 80-0017-LPU19;RESOL-2020-1429-APN-MS;EX-2019-58228145-APN-DCYCMS#MSYDS;SHIRE HUMAN GENETIC THERAPIES SA;30708282150;1,032E+11;;26/11/2020;4;24000;"Nombre genérico: Factor VIII derivado de plasma humano por 1.000 Unidades Internacionales, con polvo liofilizado y
disolvente para solución inyectable; Nombre comercial: HEMOFIL M.";U.I.;PARCIAL - DENTRO
